fips,d03012021
1001,149.0
1003,297.0
1005,42.0
1007,33.0
1009,59.0
1011,16.0
1013,23.0
1015,283.0
1017,46.0
1019,17.0
1021,82.0
1023,5.0
1025,15.0
1027,22.0
1029,22.0
1031,38.0
1033,35.0
1035,3.0
1037,29.0
1039,58.0
1041,20.0
1043,56.0
1045,43.0
1047,71.0
1049,50.0
1051,126.0
1053,32.0
1055,106.0
1057,23.0
1059,33.0
1061,19.0
1063,15.0
1065,31.0
1067,11.0
1069,85.0
1071,53.0
1073,824.0
1075,32.0
1077,82.0
1079,36.0
1081,158.0
1083,88.0
1085,11.0
1087,25.0
1089,417.0
1091,-21.0
1093,82.0
1095,83.0
1097,761.0
1099,8.0
1101,267.0
1103,167.0
1105,11.0
1107,16.0
1109,21.0
1111,27.0
1113,50.0
1115,96.0
1117,312.0
1119,4.0
1121,116.0
1123,69.0
1125,324.0
1127,73.0
1129,19.0
1131,15.0
1133,28.0
4001,183.0
4003,176.0
4005,298.0
4007,51.0
4009,31.0
4011,7.0
4012,20.0
4013,5009.0
4015,287.0
4017,170.0
4019,1122.0
4021,698.0
4023,21.0
4025,139.0
4027,135.0
5001,49.0
5003,82.0
5005,105.0
5007,521.0
5009,57.0
5011,4.0
5013,11.0
5015,3.0
5017,2.0
5019,43.0
5021,28.0
5023,21.0
5025,12.0
5027,149.0
5029,17.0
5031,156.0
5033,84.0
5035,126.0
5037,-1.0
5039,25.0
5041,29.0
5043,3.0
5045,206.0
5047,23.0
5049,21.0
5051,233.0
5053,42.0
5055,125.0
5057,128.0
5059,141.0
5061,84.0
5063,23.0
5065,-5.0
5067,46.0
5069,74.0
5071,67.0
5073,42.0
5075,52.0
5077,7.0
5079,22.0
5081,57.0
5083,8.0
5085,139.0
5087,6.0
5089,34.0
5091,290.0
5093,157.0
5095,6.0
5097,8.0
5099,25.0
5101,6.0
5103,86.0
5105,8.0
5107,28.0
5109,27.0
5111,24.0
5113,35.0
5115,102.0
5117,15.0
5119,676.0
5121,83.0
5123,27.0
5125,169.0
5127,-7.0
5129,21.0
5131,172.0
5133,138.0
5135,6.0
5137,14.0
5139,114.0
5141,42.0
5143,308.0
5145,501.0
5147,9.0
5149,46.0
6001,1029.0
6003,2.0
6005,32.0
6007,143.0
6009,23.0
6011,13.0
6013,992.0
6015,35.0
6017,147.0
6019,1216.0
6021,31.0
6023,84.0
6025,164.0
6027,37.0
6029,1573.0
6031,206.0
6033,57.0
6035,12.0
6037,11485.0
6039,200.0
6041,177.0
6043,2.0
6045,27.0
6047,436.0
6049,4.0
6051,3.0
6053,321.0
6055,107.0
6057,82.0
6059,1827.0
6061,247.0
6063,3.0
6065,1673.0
6067,1121.0
6069,51.0
6071,1752.0
6073,3478.0
6075,396.0
6077,690.0
6079,243.0
6081,559.0
6083,499.0
6085,1494.0
6087,166.0
6089,152.0
6091,1.0
6093,47.0
6095,285.0
6097,396.0
6099,746.0
6101,128.0
6103,50.0
6105,14.0
6107,604.0
6109,51.0
6111,933.0
6113,169.0
6115,66.0
8001,773.0
8003,31.0
8005,906.0
8007,20.0
8009,2.0
8011,11.0
8013,373.0
8014,94.0
8015,43.0
8017,0.0
8019,4.0
8021,9.0
8023,5.0
8025,89.0
8027,0.0
8029,29.0
8031,1197.0
8033,1.0
8035,575.0
8037,181.0
8039,31.0
8041,1109.0
8043,55.0
8045,84.0
8047,3.0
8049,30.0
8051,21.0
8053,1.0
8055,10.0
8057,0.0
8059,735.0
8061,0.0
8063,12.0
8065,8.0
8067,90.0
8069,559.0
8071,15.0
8073,2.0
8075,35.0
8077,258.0
8079,0.0
8081,15.0
8083,23.0
8085,55.0
8087,19.0
8089,25.0
8091,11.0
8093,11.0
8095,4.0
8097,71.0
8099,3.0
8101,165.0
8103,18.0
8105,17.0
8107,58.0
8109,7.0
8111,1.0
8113,19.0
8115,0.0
8117,75.0
8119,23.0
8121,9.0
8123,501.0
8125,12.0
9001,2222.0
9003,1465.0
9005,287.0
9007,282.0
9009,2166.0
9011,517.0
9013,188.0
9015,139.0
10001,284.0
10003,1345.0
10005,357.0
11001,929.0
12001,217.0
12003,24.0
12005,379.0
12007,37.0
12009,964.0
12011,4853.0
12013,6.0
12015,161.0
12017,178.0
12019,173.0
12021,549.0
12023,88.0
12027,113.0
12029,31.0
12031,1080.0
12033,471.0
12035,176.0
12037,5.0
12039,53.0
12041,23.0
12043,8.0
12045,26.0
12047,15.0
12049,36.0
12051,55.0
12053,276.0
12055,141.0
12057,2376.0
12059,16.0
12061,238.0
12063,38.0
12065,12.0
12067,11.0
12069,605.0
12071,976.0
12073,480.0
12075,51.0
12077,7.0
12079,28.0
12081,789.0
12083,579.0
12085,264.0
12086,7693.0
12087,163.0
12089,121.0
12091,496.0
12093,51.0
12095,2273.0
12097,671.0
12099,3026.0
12101,764.0
12103,1455.0
12105,1164.0
12107,60.0
12109,245.0
12111,578.0
12113,294.0
12115,492.0
12117,588.0
12119,247.0
12121,41.0
12123,32.0
12125,12.0
12127,704.0
12129,22.0
12131,125.0
12133,26.0
13001,46.0
13003,7.0
13005,6.0
13007,3.0
13009,56.0
13011,39.0
13013,224.0
13015,421.0
13017,19.0
13019,51.0
13021,324.0
13023,14.0
13025,18.0
13027,46.0
13029,127.0
13031,122.0
13033,43.0
13035,70.0
13037,15.0
13039,75.0
13043,16.0
13045,173.0
13047,189.0
13049,10.0
13051,552.0
13053,39.0
13055,48.0
13057,834.0
13059,186.0
13061,4.0
13063,657.0
13065,11.0
13067,1364.0
13069,56.0
13071,93.0
13073,283.0
13075,47.0
13077,418.0
13079,5.0
13081,11.0
13083,43.0
13085,48.0
13087,39.0
13089,1321.0
13091,13.0
13093,13.0
13095,77.0
13097,293.0
13099,15.0
13101,8.0
13103,129.0
13105,12.0
13107,32.0
13109,15.0
13111,33.0
13113,379.0
13115,216.0
13117,523.0
13119,40.0
13121,2180.0
13123,45.0
13125,8.0
13127,126.0
13129,284.0
13131,35.0
13133,30.0
13135,1973.0
13137,80.0
13139,364.0
13141,12.0
13143,44.0
13145,46.0
13147,57.0
13149,10.0
13151,830.0
13153,273.0
13155,15.0
13157,163.0
13159,35.0
13161,42.0
13163,19.0
13165,8.0
13167,0.0
13169,28.0
13171,40.0
13173,13.0
13175,45.0
13177,39.0
13179,87.0
13181,29.0
13183,25.0
13185,424.0
13187,28.0
13189,35.0
13191,14.0
13193,9.0
13195,73.0
13197,22.0
13199,33.0
13201,16.0
13205,22.0
13207,65.0
13209,7.0
13211,75.0
13213,83.0
13215,333.0
13217,342.0
13219,75.0
13221,14.0
13223,483.0
13225,40.0
13227,74.0
13229,29.0
13231,28.0
13233,109.0
13235,16.0
13237,27.0
13239,6.0
13241,21.0
13243,12.0
13245,405.0
13247,241.0
13249,16.0
13251,17.0
13253,9.0
13255,135.0
13257,36.0
13259,10.0
13261,42.0
13263,6.0
13265,1.0
13267,27.0
13269,12.0
13271,4.0
13273,18.0
13275,56.0
13277,43.0
13279,33.0
13281,49.0
13283,11.0
13285,126.0
13287,13.0
13289,50.0
13291,20.0
13293,37.0
13295,239.0
13297,317.0
13299,78.0
13301,10.0
13303,40.0
13305,40.0
13307,0.0
13309,3.0
13311,45.0
13313,166.0
13315,11.0
13317,19.0
13319,20.0
13321,17.0
16001,513.0
16003,6.0
16005,108.0
16007,3.0
16009,33.0
16011,67.0
16013,28.0
16015,6.0
16017,26.0
16019,254.0
16021,9.0
16023,3.0
16025,1.0
16027,167.0
16029,3.0
16031,15.0
16033,0.0
16035,4.0
16037,2.0
16039,20.0
16041,11.0
16043,25.0
16045,5.0
16047,4.0
16049,4.0
16051,49.0
16053,16.0
16055,160.0
16057,105.0
16059,5.0
16061,4.0
16063,3.0
16065,103.0
16067,7.0
16069,24.0
16071,3.0
16073,-1.0
16075,3.0
16077,4.0
16079,3.0
16081,19.0
16083,49.0
16085,5.0
16087,1.0
17001,52.0
17003,6.0
17005,22.0
17007,25.0
17009,6.0
17011,40.0
17013,5.0
17015,15.0
17017,15.0
17019,241.0
17021,23.0
17023,19.0
17025,8.0
17027,23.0
17029,61.0
17031,4494.0
17033,11.0
17035,11.0
17037,115.0
17039,9.0
17041,48.0
17043,862.0
17045,8.0
17047,1.0
17049,16.0
17051,5.0
17053,29.0
17055,26.0
17057,31.0
17059,4.0
17061,3.0
17063,74.0
17065,5.0
17067,8.0
17069,3.0
17071,6.0
17073,33.0
17075,7.0
17077,36.0
17079,9.0
17081,33.0
17083,22.0
17085,10.0
17087,11.0
17089,618.0
17091,142.0
17093,158.0
17095,26.0
17097,819.0
17099,145.0
17101,15.0
17103,50.0
17105,74.0
17107,13.0
17109,25.0
17111,315.0
17113,169.0
17115,81.0
17117,34.0
17119,339.0
17121,13.0
17123,7.0
17125,16.0
17127,27.0
17129,9.0
17131,9.0
17133,38.0
17135,47.0
17137,22.0
17139,11.0
17141,67.0
17143,158.0
17145,38.0
17147,26.0
17149,16.0
17151,3.0
17153,1.0
17155,7.0
17157,14.0
17159,3.0
17161,86.0
17163,362.0
17165,31.0
17167,161.0
17169,2.0
17171,2.0
